fixture_id,B365H,B365D,B365A
924,2.4,3.25,3.3
925,3,3.4,2.5
926,2.5,3.4,3
927,1.36,5.5,9
928,3.75,3.5,2.1
929,2.25,3.25,3.6
930,2.1,3.3,4
931,4.75,3.5,1.9
932,3.6,3.5,2.15
933,1.44,4.75,8.5
934,2.15,3.5,3.6
935,2,3.6,4
936,5,4,1.72
937,1.95,3.6,4.33
938,1.4,4.75,9.5
939,3.75,3.3,2.2
940,1.53,4,6.5
941,1.95,3.5,4.33
942,2.15,3.4,3.75
943,3.1,3.5,2.4
944,3.2,3.8,2.25
945,1.66,4,5.75
946,1.75,3.75,5.25
947,1.9,3.75,4.2
948,4.33,4.2,1.8
949,2.65,3.3,2.87
950,9,5.5,1.36
951,1.75,3.8,5.25
952,1.36,5.25,9.5
953,1.8,3.5,5.5
954,2.25,3.6,3.3
955,1.53,4.4,7
956,1.61,4,6.25
957,2.2,3.6,3.4
958,1.55,4.2,7
959,1.66,4,5.75
960,1.83,4,4.33
961,1.6,4.2,6
962,1.45,4.75,8
963,3.75,3.8,2
964,1.65,4.2,5.5
965,3.8,3.6,2.05
966,4.2,3.75,1.9
967,3.3,3.3,2.37
968,3.5,3.6,2.15
969,2.8,3.5,2.6
970,2.7,3.4,2.8
971,4,3.5,2.05
972,2.25,3.6,3.25
973,2,3.3,3.8
974,5,4,1.61
975,2.2,3.4,3.2
976,1.75,3.8,4.33
977,1.57,3.8,6
978,1.95,3.5,3.75
979,1.36,5,7.5
980,2.37,3.4,2.9
981,2.4,3.5,2.75
982,1.16,7,15
983,1.65,4,4.75
984,1.6,4,5.25
985,2.9,3.6,2.5
986,2.4,3.8,2.87
987,1.9,4,4
988,1.95,4,3.8
989,3,3.75,2.37
990,6.25,4,1.61
991,1.3,5,10
992,2.7,3.5,2.7
993,4.75,4.2,1.72
994,1.75,4,5
995,3.5,3.5,2.2
996,2.15,3.6,3.5
1377,2.14,3.1,3.6
1378,1.8,3.3,4.75
1379,3.2,2.87,2.5
1380,2.2,3,3.6
1381,1.9,3.25,3.8
1382,3.3,3,2.37
1383,2.1,3.1,3.75
1384,3,2.9,2.6
1385,1.95,3.1,4.33
1386,2.14,3.1,3.6
1387,1.9,3.2,4.33
1388,2.5,3,3
1389,2.25,3,3.5
1390,1.95,3.3,4
1391,1.61,3.8,5.5
1392,3.25,3,2.37
1393,2.1,3,4
1394,2.04,3.3,3.6
1395,1.61,3.6,6
1396,3,3.25,2.37
1397,2,3.1,4.2
1398,2.4,3.2,3
1399,1.83,3.25,4.75
1400,3.3,3.2,2.25
1401,1.83,3.25,5
1402,3.2,3,2.4
1403,3,3.1,2.45
1404,3.3,3,2.3
1405,2.1,3.1,3.75
1406,2.2,3.1,3.5
1407,1.8,3.5,4.5
1408,2.1,3.2,3.6
1409,2.9,3,2.6
1410,2,3.1,4.2
1411,1.75,3.4,5
1412,1.85,3.4,4.33
1413,1.8,3.4,4.75
1414,2.04,3.3,3.6
1415,2,3.1,4.2
1416,2.45,3,3.1
1417,2.7,3.2,2.62
1418,4,3.2,2
1419,2.1,3.1,3.8
1420,3.3,3.3,2.2
1421,1.85,3,5
1422,2.04,3.2,3.8
1423,3.25,2.9,2.4
1424,2.87,3,2.62
1425,2.5,2.75,3.3
1426,2.1,3.1,3.75
1427,2.04,3.2,3.8
1428,2,3,4.33
1429,2.87,3,2.62
1430,1.7,3.6,5
1431,1.83,3.4,4.5
1432,2.1,3.1,3.8
1433,2.25,3.2,3.2
1434,2.2,3.1,3.5
1435,2.14,3,3.8
1436,2.54,3.1,2.87
1437,1.85,3.1,5
1438,2.3,2.9,3.5
1439,1.64,3.5,6
1440,2.62,3,2.87
1441,1.72,3.25,5.5
1442,1.9,3.1,4.5
1443,2.25,3,3.5
1444,3.5,3.1,2.2
1445,2.87,3,2.6
1446,1.66,3.6,5.25
1447,2.87,2.8,2.75
1448,2.45,2.9,3.25
1449,2.3,3.2,3.1
1450,2.2,3.1,3.5
1451,1.55,3.5,7.5
1452,1.57,3.5,7
1453,3.25,2.87,2.45
1454,2.6,3,2.87
1455,3.4,3.1,2.25
1456,3.3,3.1,2.3
1457,2.9,2.87,2.7
1458,1.75,3.4,5
1459,1.95,3.2,4.2
1460,2.1,3.1,3.75
1461,1.36,4.5,9
1462,1.44,4,9
1463,3.2,2.87,2.5
1464,2.25,3.3,3.2
1465,1.85,3.3,4.5
1466,2.45,3,3.1
1467,2.04,3,4.2
1468,2.5,3.1,3
1469,2.5,3.1,2.9
1470,2.3,3.1,3.25
1471,2,3,4.33
1472,2.7,2.9,2.9
1473,2.62,3.1,2.75
1474,2.75,2.87,2.87
1475,1.8,3.3,4.75
1476,2.37,3,3.25
1477,1.85,3.3,4.5
1478,4,3,2.1
1479,1.9,3.2,4.33
1480,1.44,4,8
1481,1.6,3.5,6.5
1482,2.8,2.87,2.8
1483,3,2.87,2.62
1484,2.37,3,3.2
1485,1.9,3,4.75
1486,1.55,3.6,7
1487,1.83,3.3,4.75
1488,3.8,3.3,2
1489,1.85,3.3,4.5
1490,3.2,3.1,2.37
1491,1.9,3.2,4.4
1492,1.83,3.3,4.6
1493,2,3.1,4.33
1494,2.37,3,3.2
1495,1.55,3.8,6.5
1496,4.5,3.4,1.8
